"filename", "language", "Markdown", "C", "Makefile", "LinkerScript", "XML", "Log", "Batch", "C++", "Assembly", "comment", "blank", "total"
"c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\.idea\vcs.xml", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\Makefile", "Makefile", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 14, 69
"c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\kernel.ld", "LinkerScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 1, 25
"c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\run.bat", "Batch", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\run2.bat", "Batch", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\serial.log", "Log", 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 11, 51
"c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\src\BasicRenderer.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 129, 0, 4, 32, 165
"c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\src\BasicRenderer.h", "C++", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 4, 32
"c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\src\FrameBuffer.h", "C++", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\src\acpi.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 5, 22
"c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\src\acpi.h", "C++", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 6, 44
"c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\src\bitmap.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 4, 26
"c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\src\bitmap.h", "C++", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\src\cstr.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 139, 0, 0, 19, 158
"c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\src\cstr.h", "C++", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\src\drivers\serial.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 34, 0, 3, 10, 47
"c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\src\drivers\serial.h", "C++", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\src\efiMemory.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 1, 18
"c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\src\efiMemory.h", "C++", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 2, 13
"c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\src\gdt\gdt.asm", "Assembly", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 1, 17
"c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\src\gdt\gdt.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\src\gdt\gdt.h", "C++", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 5, 30
"c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\src\interrupts\idt.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 2, 15
"c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\src\interrupts\idt.h", "C++", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 3, 23
"c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\src\interrupts\interrupts.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 21, 81
"c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\src\interrupts\interrupts.h", "C++", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 4, 23
"c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\src\io.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 4, 18
"c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\src\io.h", "C++", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\src\kernel.c", "C", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\src\kernel.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 8, 20
"c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\src\kernelUtil.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 71, 0, 2, 32, 105
"c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\src\kernelUtil.h", "C++", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 5, 33
"c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\src\math.h", "C++", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\src\memory.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 5, 20
"c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\src\memory.h", "C++", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
"c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\src\paging\pageFrameAlloc.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 117, 0, 0, 25, 142
"c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\src\paging\pageFrameAlloc.h", "C++", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 3, 28
"c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\src\paging\pageMapIndexer.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 2, 13
"c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\src\paging\pageMapIndexer.h", "C++", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
